,model,data,ticker,timeframe,datasize,MAPE,DirecAccuracy,MSE
1131,LGBMwithClose,jump_diffusion,^GSPC,daily,67,0.012432338680472622,0.4925373134328358,3977.9374588615647
1132,LGBMwithClose,jump_diffusion,^N225,daily,65,0.015382907679787457,0.5538461538461539,2054603.6596343864
1133,LGBMwithClose,jump_diffusion,^NSEI,daily,67,0.012301651939233714,0.5373134328358209,356714.0267437657
1134,LGBMwithClose,jump_diffusion,AAPL,hourly,188,0.004125030246759299,0.5053191489361702,2.269353729130395
1135,LGBMwithClose,jump_diffusion,BIRET.BO,hourly,56,0.003556680591686474,0.4642857142857143,1.4392145866626986
1136,LGBMwithClose,jump_diffusion,DLF.NS,hourly,56,0.036358166942314654,0.44642857142857145,924.6190252109906
1137,LGBMwithClose,jump_diffusion,EMBASSY.BO,hourly,56,0.07701066185038366,0.42857142857142855,832.0663772723411
1138,LGBMwithClose,jump_diffusion,GC=F,hourly,315,0.0019366184668379016,0.5079365079365079,49.640740962344864
1139,LGBMwithClose,jump_diffusion,GODREJPROP.NS,hourly,56,0.009221035391601743,0.44642857142857145,3761.304426230402
1140,LGBMwithClose,jump_diffusion,GOOGL,hourly,188,0.004263968172575108,0.4521276595744681,0.20092878417802174
1141,LGBMwithClose,jump_diffusion,LODHA.NS,hourly,56,0.010235829162574686,0.39285714285714285,639.5776008136452
1142,LGBMwithClose,jump_diffusion,META,hourly,188,0.00784086334610281,0.5106382978723404,25.52407196741961
1143,LGBMwithClose,jump_diffusion,MINDSPACE.BO,hourly,56,0.004795430522919092,0.48214285714285715,7.544488822319564
1144,LGBMwithClose,jump_diffusion,MSFT,hourly,188,0.004230630594695802,0.5053191489361702,7.562745107710532
1145,LGBMwithClose,jump_diffusion,NVDA,hourly,188,0.010874535711021314,0.5159574468085106,0.8433354399951972
1146,LGBMwithClose,jump_diffusion,NXST.BO,hourly,56,0.004494918173952825,0.42857142857142855,0.6515224899812687
1147,LGBMwithClose,jump_diffusion,OBEROIRLTY.NS,hourly,56,0.00670160088290619,0.5714285714285714,179.6274451541943
1148,LGBMwithClose,jump_diffusion,^DJI,hourly,54,0.0023910188002550454,0.5370370370370371,11315.436308529086
1149,LGBMwithClose,jump_diffusion,^GSPC,hourly,54,0.0122882127987774,0.4074074074074074,9916.081236576403
1150,LGBMwithClose,jump_diffusion,^N225,hourly,55,0.005669560540074792,0.5818181818181818,33976.527705996625
1151,LGBMwithClose,jump_diffusion,^NSEI,hourly,56,0.002538726060382453,0.5178571428571429,10339.004762208377
1152,LGBMwithIndicators,data,AAPL,daily,67,0.027638585763110488,0.5970149253731343,56.84986233520022
1153,LGBMwithIndicators,data,BIRET.BO,daily,68,0.04722909813279173,0.4852941176470588,302.95948448604537
1154,LGBMwithIndicators,data,DLF.NS,daily,68,0.024608377842345826,0.5294117647058824,516.8394478896892
1155,LGBMwithIndicators,data,EMBASSY.BO,daily,68,0.02638125079034634,0.5147058823529411,133.48617464889855
1156,LGBMwithIndicators,data,GC=F,daily,69,0.11918249285256236,0.5362318840579711,164379.43724493103
